,barrio_original,barrio_sin_est,nom_match,lat,lon
1919,HACIENDA SANTA BARBARA LT EL CERRO E-11,HACIENDA SANTA BARBARA LT EL CERRO ,SANTA BARBARA CENTRAL,,
1920,HACIENDA SANTA BÁRBARA E-1,HACIENDA SANTA BÁRBARA,CALLEJON SANTA BARBARA,,
1921,HACIENDA SANTA ISABEL E-10,HACIENDA SANTA ISABEL ,SANTA ISABEL,,
1922,HACIENDA SANTA ISABEL E-9,HACIENDA SANTA ISABEL,SANTA ISABEL,,
1923,HACIENDA TECHO LOTE 13 E-8,HACIENDA TECHO LOTE 13,,,
1924,HACIENDA TECHO LOTE 6 E-8,HACIENDA TECHO LOTE 6,,,
1925,HACIENDA TECHO LOTE N° 8 E-8,HACIENDA TECHO LOTE N° 8,,,
1926,HACIENDA TECHO LOTES A Y B E-8,HACIENDA TECHO LOTES A Y B,SABANA DE TIBABUYES NORTE,,
1927,HADA TIBABITA E-1,HADA TIBABITA,TIBABITA,,
1928,HATO CHICO II E-11,HATO CHICO II ,CIUDAD TECHO II,,
1929,HAYUELOS I ETAPA E-9,HAYUELOS I ETAPA,HOYA TEUSACA,,
1930,HB E-9,HB,,,
1931,HEROES E-7,HEROES,EL PROGRESO,,
1932,HIBERNIA E-11,HIBERNIA ,IBERIA,,
1933,HILANDERIAS FONTIBON E-9,HILANDERIAS FONTIBON,BRISAS ALDEA FONTIBON,,
1934,HILANDERÍAS FONTIBON E-9,HILANDERÍAS FONTIBON,BRISAS ALDEA FONTIBON,,
1935,HILANDERÍAS FONTIBÓN E-9,HILANDERÍAS FONTIBÓN,BRISAS ALDEA FONTIBON,,
1936,HIPOTECHO OCCIDENTAL E-8,HIPOTECHO OCCIDENTAL,HIPOTECHO OCCIDENTAL,,
1937,HOLANDA E-7,HOLANDA,OLAYA,,
1938,HOLANDA I SECTOR E-7,HOLANDA I SECTOR,HOSPITAL SAN CARLOS,,
1939,HOLANDA III SECTOR E-7,HOLANDA III SECTOR,HOYA SAN CRISTOBAL,,
1940,HOME CENTER E-10,HOME CENTER ,EL MOCHUELO ORIENTAL,,
1941,HONTANAR E-2,HONTANAR,BONANZA,,
1942,HORACIO ORJUELA E-4,HORACIO ORJUELA,CHARCO RURAL,,
1943,HORIZONTE OCCIDENTE E-8,HORIZONTE OCCIDENTE,HORIZONTES NORTE,,
1944,HORIZONTE SALITRE E-11,HORIZONTE SALITRE ,HORIZONTES NORTE,,
1945,HORIZONTES E-1,HORIZONTES,HORIZONTES NORTE,,
1946,HORIZONTES E-19,HORIZONTES ,HORIZONTES NORTE,,
1947,HOSPITAL DE BOSA E-7,HOSPITAL DE BOSA,HOSPITAL SAN CARLOS,,
1948,HOSPITAL DE FONTIBON E-9,HOSPITAL DE FONTIBON,HOSPITAL SAN CARLOS,,
1949,HOSPITAL DE KENNEDY   E-8,HOSPITAL DE KENNEDY  ,NICOLAS DE FEDERMAN,,
1950,HOSPITAL DE KENNEDY E-8,HOSPITAL DE KENNEDY,NICOLAS DE FEDERMAN,,
1951,HOSPITAL LA GRANJA E-10,HOSPITAL LA GRANJA ,HOSPITAL SAN CARLOS,,
1952,HOSPITAL MILITAR E-2,HOSPITAL MILITAR,HOSPITAL SAN CARLOS,,
1953,HUERTOS DE LA ESTANCIA E-11,HUERTOS DE LA ESTANCIA ,NUESTRA SENORA DEL ROSARIO,,
1954,HUMBERTO VALENCIA E-7,HUMBERTO VALENCIA,NUEVA GLORIA,,
1955,HUNZAHUA E-2,HUNZAHUA,CHUNIZA,,
1956,HÉROES E-7,HÉROES,CHORRERAS,,
1957,IBERIA E-11,IBERIA ,IBERIA,,
1958,IBERIA SECTOR III E-11,IBERIA SECTOR III ,IBERIA,,
1959,IBERIA TRIANGULO II SECTOR E-11,IBERIA TRIANGULO II SECTOR ,IBERIA,,
1960,IBIZA E-1,IBIZA,IBERIA,,
1961,ICATA E-11,ICATA ,RINCON ALTAMAR,,
1962,ICOAUTOS E-16,ICOAUTOS ,RICAURTE,,
