,bar_orig,loc_match
531,BOSQUE DE PINOS III RURAL,USAQUEN
532,LA ESTRADITA,ENGATIVA
533,VILLA HERMOSA,SUBA
534,PUERTA DE TEJA,FONTIBON
535,LOS TRES REYES,CIUDAD BOLIVAR
536,TIBABUYES UNIVERSAL,SUBA
537,ALTOS DE CHOZICA,SUBA
538,NAZARETH,SUMAPAZ
539,PARIS GAITAN,ENGATIVA
540,QUIRIGUA ORIENTAL,ENGATIVA
541,CENTRO INDUSTRIAL,PUENTE ARANDA
542,NIZA NORTE,SUBA
543,ALAMOS,ENGATIVA
544,PASQUILLA,CIUDAD BOLIVAR
545,LA CHUCUA,SUBA
546,SAN PEDRO,BOSA
547,EL MIRADOR DE LA ESTANCIA,CIUDAD BOLIVAR
548,CENTRAL DE MEZCLAS,CIUDAD BOLIVAR
549,EL BOSQUE SUR ORIENTAL RURAL I,USME
550,LOS SAUCES,BOSA
551,AURES,SUBA
552,EL CURUBO,USME
553,LOS TRES REYES I,CIUDAD BOLIVAR
554,VILLA DEL CERRO,SAN CRISTOBAL
555,SANTA ROSA,SUBA
556,LA LIBERIA,USAQUEN
557,TOSCANA,SUBA
558,USMINIA,USME
559,TIMIZA C,KENNEDY
560,CEDRITOS DEL SUR,CIUDAD BOLIVAR
561,QUESADA,TEUSAQUILLO
562,LOS ANDES,USME
563,PUERTO RICO,RAFAEL URIBE URIBE
564,SANTA VIVIANA,CIUDAD BOLIVAR
565,ARRAYAN,USME
566,SAN BERNARDINO POTRERITOS,BOSA
567,QUIBA ALTO,CIUDAD BOLIVAR
568,GRANADA,CHAPINERO
569,EL CEDRO,ENGATIVA
570,BOSQUE IZQUIERDO,SANTA FE
571,LAS AGUAS,CANDELARIA
572,SAN DIEGO,SANTA FE
573,PARAMO I RURAL,CHAPINERO
574,PARAMO I,CHAPINERO
575,ALTOS DEL ZIPA,SAN CRISTOBAL
576,RINCON DE LA VALVANERA,CIUDAD BOLIVAR
577,GALAN,PUENTE ARANDA
578,LOS ARRAYANES II,RAFAEL URIBE URIBE
579,SANTA MARIA,ENGATIVA
580,EL MOCHUELO,CIUDAD BOLIVAR
581,LAS FERIAS OCCIDENTAL,ENGATIVA
582,AUTOPISTA MEDELLIN,ENGATIVA
583,TIBAQUE II,USME
584,VILLA AMALIA,ENGATIVA
585,NUEVO MUZU,TUNJUELITO
586,LA VALVANERA,CIUDAD BOLIVAR
