date,municipality,nighborhood,zone,age,sex,schooling
2019-08-29,BOGOTÁ D.C.,SANTA FE E-14,URBANA,29.0,MASCULINO,SECUNDARIA
2019-08-29,CHÍA,VER. BOJACA,URBANA,65.0,FEMENINO,NO REPORTADO
2019-08-30,SAN FRANCISCO,SAN CRISTOBAL,URBANA,47.0,MASCULINO,SECUNDARIA
2019-08-30,SOACHA,LOS DUCALES,URBANA,31.0,MASCULINO,SECUNDARIA
2019-08-31,BOGOTÁ D.C.,ALQUERIA DE LAFRAGUA SECTOR PARAISO E-8,URBANA,30.0,MASCULINO,SECUNDARIA
2019-08-31,BOGOTÁ D.C.,VILLA GLADYS E-10,URBANA,28.0,MASCULINO,SECUNDARIA
2019-08-31,VIOTÁ,VER. BUENA VISTA,RURAL,39.0,MASCULINO,PRIMARIA
2019-09-01,BOGOTÁ D.C.,LA PAZ BOSA E-7,URBANA,32.0,MASCULINO,SECUNDARIA
2019-09-01,BOGOTÁ D.C.,NUEVA YORK E-8,URBANA,18.0,MASCULINO,SECUNDARIA
2019-09-02,BOGOTÁ D.C.,NUEVO SAN LUIS E-5,URBANA,26.0,MASCULINO,SECUNDARIA
2019-09-02,BOGOTÁ D.C.,EL PORVENIR E-5,URBANA,58.0,MASCULINO,SECUNDARIA
2019-09-02,BOGOTÁ D.C.,VILLAS DE GRANADA E-10,URBANA,51.0,FEMENINO,SECUNDARIA
2019-09-02,BOGOTÁ D.C.,JUAN JOSE RONDON E-19,URBANA,34.0,MASCULINO,SECUNDARIA
2019-09-02,BOGOTÁ D.C.,EL TESORO E-19,URBANA,46.0,MASCULINO,SECUNDARIA
2019-09-03,BOGOTÁ D.C.,PATIO BONITO I E-8,URBANA,21.0,MASCULINO,SECUNDARIA
2019-09-03,BOGOTÁ D.C.,CENTRO FONTIBON E-9,URBANA,29.0,MASCULINO,SECUNDARIA
2019-09-03,BOGOTÁ D.C.,RINCON DE BOYACA E-11,URBANA,38.0,MASCULINO,SECUNDARIA
2019-09-03,BOGOTÁ D.C.,EL REFUGIO E-9,URBANA,32.0,MASCULINO,SECUNDARIA
2019-09-04,BOGOTÁ D.C.,SANTA SOFIA E-12,URBANA,23.0,MASCULINO,SECUNDARIA
2019-09-04,BOGOTÁ D.C.,LA CAPUCHINA E-3,URBANA,35.0,MASCULINO,SECUNDARIA
2019-09-04,BOGOTÁ D.C.,CHUNIZA E-5,URBANA,36.0,MASCULINO,SECUNDARIA
2019-09-04,GIRARDOT,PORTACHUELO,URBANA,18.0,MASCULINO,SECUNDARIA
